STT,GIỐNG NHAU - LOẠI,GIỐNG NHAU - NHU CẦU,GIỐNG NHAU - TỈNH,QUẬN HUYỆN,PHƯỜNG XÃ,GIÁ - TRIỆU ĐỒNG,NGÀY ĐĂNG,HÃNG XE,DÒNG XE,NĂM SẢN XUẤT,DUNG TÍCH,KIỂU XE,SỐ KM ĐÃ ĐI
171,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,24.9,1/1/2021,Yamaha,Exciter,2016,100 - 175 ,Tay côn/Moto,9
172,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,,5.9,1/1/2021,Yamaha,Nouvo,2009,100 - 175 ,Tay ga,33779
173,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,,5.9,1/1/2021,Yamaha,Nouvo,2009,100 - 175 ,Tay ga,33779
174,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Thuận Đông,55,1/1/2021,Honda,CBR,2015,100 - 175 ,Tay côn/Moto,4
175,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 17,45,1/1/2021,Honda,CBR,2012,100 - 175 ,Tay côn/Moto,
176,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 7,6.5,1/1/2021,SYM,Angela,2014,Dưới 50 ,Xe số,300
177,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 4,132,1/1/2021,Honda,SH,2011,100 - 175 ,Tay ga,11
178,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,79,1/1/2021,Piaggio,Vespa,1980,100 - 175 ,Xe số,4567
179,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 5,8.2,1/1/2021,Yamaha,Sirius,2009,,Xe số,24
180,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,,8.2,1/1/2021,Yamaha,Sirius,2013,100 - 175 ,Xe số,25
181,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 16,18.5,1/1/2021,Honda,Air Blade,2010,100 - 175 ,Tay ga,5
182,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,36.5,1/1/2021,Honda,Dream,2005,,Xe số,29
183,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,6.5,1/1/2021,SYM,Joyride,2014,100 - 175 ,Tay ga,5
184,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,24.5,1/1/2021,Honda,Vision,2019,100 - 175 ,Tay ga,5
185,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,Phường Nguyễn Thái Bình,45.5,1/1/2021,Honda,Vario,2019,100 - 175 ,Tay ga,11
186,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,Phường 12,7,1/1/2021,Honda,Wave,2016,50 - 100 ,Xe số,50
187,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 3,35,1/1/2021,Yamaha,Exciter,2018,100 - 175 ,Xe số,8
188,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 17,12,1/1/2021,Honda,67,2020,100 - 175 ,Xe số,
189,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 12,188,1/1/2021,Honda,SH,2010,100 - 175 ,Tay ga,25
190,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Thuận,85,1/1/2021,Honda,Future,2001,,Xe số,21
191,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 14,18.8,1/1/2021,Yamaha,Exciter,2013,100 - 175 ,Tay côn/Moto,1654
192,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,25.9,1/1/2021,Honda,Winner,2018,100 - 175 ,Tay côn/Moto,9
193,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Thới Tam Thôn,41,1/1/2021,Honda,Air Blade,2019,100 - 175 ,Tay ga,
194,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 2,9,1/1/2021,Honda,Wave,2011,100 - 175 ,Xe số,20
195,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,33.9,1/1/2021,Honda,Vario,2019,100 - 175 ,Tay ga,9
196,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,28.8,1/1/2021,Honda,Winner,2019,100 - 175 ,Tay côn/Moto,9
197,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,96,1/1/2021,Honda,SH,2019,100 - 175 ,Tay ga,35
198,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,4,1/1/2021,Honda,Wave,2008,50 - 100 ,Xe số,
199,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,26.9,1/1/2021,Honda,Winner,2019,100 - 175 ,Tay côn/Moto,9
200,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 21,5.3,1/1/2021,Hãng khác,Dòng khác,2008,50 - 100 ,Xe số,15
201,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà A,9.3,1/1/2021,SYM,Attila,2011,100 - 175 ,Tay ga,33439
202,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Quy,6.5,1/1/2021,SYM,Elizabeth,2009,100 - 175 ,Tay ga,35
203,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 24,11.5,1/1/2021,Honda,Lead,2010,100 - 175 ,Tay ga,22
204,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 15,68,1/1/2021,Honda,Spacy,2000,100 - 175 ,Tay ga,30
205,Xe máy,Cần bán,Hồ Chí Minh,Quận 4,Phường 14,26.5,1/1/2021,Yamaha,Exciter,2016,100 - 175 ,Tay côn/Moto,
206,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,,6.9,1/1/2021,Yamaha,Mio,2016,,Xe số,24
207,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 24,17.5,1/1/2021,Honda,Future,2007,100 - 175 ,Xe số,22
208,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,5,1/1/2021,Suzuki,Viva,2004,100 - 175 ,Xe số,25
209,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,2.2,1/1/2021,SYM,Shark,2009,100 - 175 ,Tay ga,50
210,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà A,26.3,1/1/2021,Honda,Vision,2018,,Tay ga,123456
211,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,37.9,1/1/2021,Suzuki,Satria,2019,100 - 175 ,Tay côn/Moto,9
212,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 16,55,1/1/2021,Honda,Cub,2010,50 - 100 ,Xe số,10587
213,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Trung Mỹ Tây,12.8,1/1/2021,Honda,Wave,2002,100 - 175 ,Xe số,2222
214,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,65,1/1/2021,Piaggio,Primavera,2020,,Tay ga,63
215,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 12,23.8,1/1/2021,Honda,Vision,2016,100 - 175 ,Tay ga,18
216,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,23.9,1/1/2021,Honda,Winner,2017,100 - 175 ,Tay côn/Moto,9
217,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú B,10,1/1/2021,Yamaha,Sirius,2015,100 - 175 ,Xe số,70
218,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 10,27.5,1/1/2021,Honda,Future,2007,100 - 175 ,Xe số,40
219,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,24.2,1/1/2021,Yamaha,Grande,2015,100 - 175 ,Tay ga,33
220,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,,7.8,1/1/2021,Honda,Wave,2007,50 - 100 ,Xe số,7899
221,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Xuân,11,1/1/2021,Honda,Wave,2016,100 - 175 ,Xe số,30
222,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,25.8,1/1/2021,Honda,Winner,2018,100 - 175 ,Tay côn/Moto,9
223,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,,31.5,1/1/2021,Honda,Air Blade,2017,100 - 175 ,Tay ga,123
224,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 25,65,1/1/2021,Honda,SH,2003,,Tay ga,35
225,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Chiểu,53.5,1/1/2021,Honda,Vario,2017,100 - 175 ,Tay ga,8
226,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 1,32,1/1/2021,Honda,Future,2009,100 - 175 ,Xe số,253
227,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 25,45,1/1/2021,Honda,SH,2008,,Tay ga,25
228,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Hiệp Thành,20.5,1/1/2021,Honda,Air Blade,2008,100 - 175 ,Tay ga,10
229,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Mỹ,5,1/1/2021,SYM,Elizabeth,2012,100 - 175 ,Tay ga,50
230,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,10.3,1/1/2021,Honda,Blade,2018,,Xe số,12
231,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 25,19.5,1/1/2021,Yamaha,Exciter,2013,,Tay côn/Moto,35
232,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,24.8,1/1/2021,Honda,Winner,2017,100 - 175 ,Tay côn/Moto,9
233,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 2,25.8,1/1/2021,Honda,Vision,2017,100 - 175 ,Tay ga,12
234,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 25,18.5,1/1/2021,Honda,Air Blade,2010,,Tay ga,35
235,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,29.8,1/1/2021,Honda,Winner,2019,100 - 175 ,Tay côn/Moto,9
236,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 6,44,1/1/2021,Suzuki,Satria,2019,100 - 175 ,Tay côn/Moto,3333
237,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,105,1/1/2021,Honda,SH,2016,100 - 175 ,Tay ga,7
238,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,48.8,1/1/2021,Honda,Vario,2020,100 - 175 ,Tay ga,9
239,Xe máy,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Tân An Hội,2.7,1/1/2021,Honda,Wave,2008,100 - 175 ,Xe số,9999
240,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,4.5,1/1/2021,Suzuki,Hayate,2007,100 - 175 ,Tay ga,300
241,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,28.5,1/1/2021,Honda,Winner,2018,100 - 175 ,Tay côn/Moto,5
242,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 1,45.9,1/1/2021,Honda,Vario,2019,100 - 175 ,Tay ga,10
243,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 12,16.9,1/1/2021,Honda,Vision,2013,100 - 175 ,Tay ga,20368
244,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 10,32,1/1/2021,Yamaha,Nvx,2017,,Tay ga,8
245,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,37.9,1/1/2021,Suzuki,Raider,2019,100 - 175 ,Tay côn/Moto,9
246,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 3,35.5,1/1/2021,Honda,PCX,2016,100 - 175 ,Tay ga,10
247,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Chiểu,35.5,1/1/2021,Piaggio,Primavera,2015,100 - 175 ,Tay ga,12
248,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 12,53.5,1/1/2021,Yamaha,R,2019,100 - 175 ,Tay côn/Moto,8
249,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,,4.3,1/1/2021,Honda,Wave,2007,,Xe số,9
250,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo,45.8,1/1/2021,Suzuki,GSX,2018,100 - 175 ,Tay côn/Moto,13
251,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,10,1/1/2021,Honda,Future,2002,100 - 175 ,Xe số,2904
252,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,35.9,1/1/2021,Suzuki,Raider,2019,100 - 175 ,Tay côn/Moto,9
253,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 7,9.8,1/1/2021,Kymco,Jockey Fi,2016,100 - 175 ,Tay ga,6
254,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Long B,27,1/1/2021,Honda,Vision,2020,100 - 175 ,Tay ga,11
255,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,34.9,1/1/2021,Suzuki,Raider,2019,100 - 175 ,Tay côn/Moto,9
256,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Hiệp,25,1/1/2021,Honda,Wave,2004,,Xe số,
257,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 13,15,1/1/2021,Honda,Wave,2019,100 - 175 ,Xe số,65
258,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 14,19.5,1/1/2021,Honda,Dream,1996,50 - 100 ,Xe số,39
259,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 1,14,1/1/2021,Suzuki,Axelo,2014,100 - 175 ,Xe số,11
260,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thọ Hòa,169,1/1/2021,Honda,SH,2011,100 - 175 ,Tay ga,11111
261,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 11,23.6,1/1/2021,Honda,Air Blade,2013,100 - 175 ,Tay ga,2368
262,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo,17.8,1/1/2021,Honda,Dòng khác,2010,100 - 175 ,Tay côn/Moto,123
263,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 11,33.6,1/1/2021,Honda,Vision,2020,100 - 175 ,Tay ga,2568
264,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thọ Hòa,171,1/1/2021,Honda,SH,2016,Trên 175 ,Tay ga,143
265,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Bà Điểm,118,1/1/2021,Honda,SH,2010,100 - 175 ,Tay ga,24
266,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,10.5,1/1/2021,Honda,Wave,2013,100 - 175 ,Xe số,15
267,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,2.75,1/1/2021,SYM,Attila,2008,,Xe số,5
268,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,5.8,1/1/2021,SYM,Elizabeth,2009,100 - 175 ,Tay ga,35
269,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông B,6.3,1/1/2021,Yamaha,Taurus,2007,100 - 175 ,Xe số,50
270,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 10,18,1/1/2021,Yamaha,Nouvo,2015,100 - 175 ,Tay ga,15
271,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phú,3,1/1/2021,Yamaha,Nouvo,2004,100 - 175 ,Tay ga,74
272,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,Phường 10,30,1/1/2021,Honda,Wave,2008,Trên 175 ,Xe số,80
273,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 21,31,1/1/2021,Suzuki,EN,2014,100 - 175 ,Tay côn/Moto,40
274,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,5.2,1/1/2021,Yamaha,Nouvo,2017,100 - 175 ,Tay ga,5
275,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,5.2,1/1/2021,Kawasaki,Dòng khác,2017,100 - 175 ,Tay ga,5
276,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 10,60,1/1/2021,Honda,CB,2004,,Tay côn/Moto,10
277,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,15.9,1/1/2021,Yamaha,Exciter,2012,100 - 175 ,Xe số,1234
278,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 8,11,1/1/2021,Honda,Wave,2004,50 - 100 ,Xe số,28
279,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,,17,31/12/2020,Honda,Lead,2013,100 - 175 ,Tay ga,12
280,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 12,31,31/12/2020,Honda,Air Blade,2017,100 - 175 ,Xe số,12
281,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thọ Hòa,79,31/12/2020,Honda,SH,2016,,Tay ga,6
282,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,48.5,31/12/2020,Honda,Vario,2019,,Tay ga,5
283,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,38.5,31/12/2020,Honda,Vario,2019,,Tay ga,5
284,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 14,102,31/12/2020,Honda,SH,2020,100 - 175 ,Tay ga,
285,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,,13,31/12/2020,Honda,Air Blade,2018,100 - 175 ,Tay ga,3098
286,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,1,31/12/2020,Honda,Winner,2019,100 - 175 ,Tay côn/Moto,10
287,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,12.5,31/12/2020,Honda,Air Blade,2012,,Tay ga,30
288,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,9.3,31/12/2020,Honda,Air Blade,2008,100 - 175 ,Tay ga,20
289,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Đông Thạnh,10.5,31/12/2020,Hãng khác,Dòng khác,2012,100 - 175 ,Xe số,10512
290,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,15,31/12/2020,Suzuki,Hayate,2008,100 - 175 ,Tay ga,5
291,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 11,10.5,31/12/2020,Honda,Wave,2008,100 - 175 ,Tay côn/Moto,46
292,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,48,31/12/2020,Honda,MSX 125,2020,100 - 175 ,Tay côn/Moto,520
293,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,14.7,31/12/2020,Honda,Air Blade,2011,100 - 175 ,Tay ga,5
294,Xe máy,Cần bán,Hồ Chí Minh,Quận 2,Phường Thạnh Mỹ Lợi,7.5,31/12/2020,Suzuki,Axelo,2014,100 - 175 ,Tay côn/Moto,50
295,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Hiệp Phú,31,31/12/2020,Honda,Spacy,2010,,Tay ga,7235
296,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Quy,6.5,31/12/2020,SYM,Elizabeth,2010,,Tay ga,25
297,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc A,13.5,31/12/2020,SYM,Galaxy,2016,100 - 175 ,Tay côn/Moto,265
298,Xe máy,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Nhơn Đức,5.8,31/12/2020,Yamaha,Mio,2005,,Tay ga,30
299,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,9.2,31/12/2020,Honda,Wave,2012,100 - 175 ,Xe số,33
300,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,19.8,31/12/2020,Yamaha,Exciter,2012,100 - 175 ,Tay côn/Moto,20
301,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,21.9,31/12/2020,Yamaha,Exciter,2016,100 - 175 ,Tay côn/Moto,10
302,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Trung Mỹ Tây,370,31/12/2020,Suzuki,Sport / Xipo,2000,100 - 175 ,Xe số,15
303,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 9,225,31/12/2020,Honda,CB,2008,Trên 175 ,Tay côn/Moto,38
304,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,19,31/12/2020,Honda,Air Blade,2013,100 - 175 ,Tay ga,25
305,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 6,29.8,31/12/2020,Honda,Air Blade,2017,100 - 175 ,Tay ga,20
306,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,,48.6,31/12/2020,Honda,Vario,2019,,Tay ga,6823
307,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,,176,31/12/2020,Honda,SH,2011,100 - 175 ,Tay ga,
308,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 10,25.8,31/12/2020,Honda,Air Blade,2017,100 - 175 ,Tay ga,22
309,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 8,2.95,31/12/2020,Honda,Wave,2009,100 - 175 ,Xe số,20
310,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,37.9,31/12/2020,Suzuki,Satria,2019,100 - 175 ,Tay côn/Moto,9
311,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Thới Tam Thôn,14.7,31/12/2020,Honda,Future,2014,100 - 175 ,Xe số,35
312,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 5,15.3,31/12/2020,Honda,Air Blade,2012,,Tay ga,123456
313,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 12,12.3,31/12/2020,Honda,Air Blade,2009,100 - 175 ,Tay ga,37
314,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà A,92,31/12/2020,Honda,CBR,2009,,Tay côn/Moto,123456
315,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 11,29.8,31/12/2020,Honda,Vision,2019,100 - 175 ,Tay ga,7
316,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 14,2.2,31/12/2020,Yamaha,Nouvo,2020,100 - 175 ,Tay ga,99999
317,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 16,6.8,31/12/2020,Honda,Wave,2000,100 - 175 ,Xe số,6868
318,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,6.7,31/12/2020,Honda,SCR,2011,100 - 175 ,Tay ga,5
319,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 5,14.3,31/12/2020,Yamaha,Nozza,2013,,Tay ga,15
320,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Hiệp Thành,12.5,31/12/2020,Honda,Air Blade,2013,100 - 175 ,Tay ga,3
321,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 12,17.5,31/12/2020,Honda,Vision,2014,100 - 175 ,Tay ga,28
322,Xe máy,Cần bán,Hồ Chí Minh,Quận 4,,15.3,31/12/2020,Honda,Dream,2001,100 - 175 ,Xe số,50
323,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 3,65,31/12/2020,Honda,SH,2006,,Tay ga,40
324,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,11,31/12/2020,Yamaha,Sirius,2010,100 - 175 ,Xe số,5
325,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,,8.2,31/12/2020,Honda,Blade,2015,100 - 175 ,Xe số,22
326,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,Phường 2,36.8,31/12/2020,Honda,Dream,2004,100 - 175 ,Xe số,1
327,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,,13.3,31/12/2020,Honda,Wave,2004,50 - 100 ,Xe số,40
328,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,16,31/12/2020,Honda,Future,2005,100 - 175 ,Xe số,15
329,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,9.5,31/12/2020,Honda,Air Blade,2008,100 - 175 ,Tay ga,5
330,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Kiểng,16,31/12/2020,Honda,Citi,1999,50 - 100 ,Xe số,80
331,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 7,12.5,31/12/2020,Honda,Dream,2003,100 - 175 ,Xe số,10
332,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,46.9,31/12/2020,Honda,Sonic,2019,100 - 175 ,Tay côn/Moto,
333,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,42.9,31/12/2020,Honda,Vario,2020,100 - 175 ,Tay ga,
334,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,25.9,31/12/2020,Honda,Winner,2018,100 - 175 ,Tay côn/Moto,
335,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông A,17,31/12/2020,Piaggio,Vespa,2006,,Tay ga,15
336,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,92.8,31/12/2020,Honda,SH,2018,,Tay ga,5
337,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,Phường Cầu Ông Lãnh,29,31/12/2020,Honda,Future,2019,,Xe số,10
338,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,,22,31/12/2020,Honda,SH Mode,2019,100 - 175 ,Tay ga,1
339,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,Phường Cầu Ông Lãnh,13,31/12/2020,Honda,Blade,2017,100 - 175 ,Xe số,25
340,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 4,97,31/12/2020,Honda,SH,2018,100 - 175 ,Tay ga,23
341,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,30,31/12/2020,Honda,Lead,2018,100 - 175 ,Tay ga,12
342,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,34,31/12/2020,Honda,Air Blade,2018,100 - 175 ,Tay ga,5
343,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,,7,31/12/2020,Honda,Wave,2019,100 - 175 ,Xe số,2
